timestamp,latitude,longitude,accuracy
0,24.4710022,39.6110202,4.0
1,24.4709732,39.6110673,4.1
2,24.4710434,39.6110693,4.1
3,24.4710221,39.6110205,4.2
4,24.4711106,39.6110253,4.3
5,24.4710060,39.6110421,4.4
6,24.4710159,39.6110369,4.4
7,24.4710680,39.6110936,4.5
8,24.4711831,39.6112065,4.6
9,24.4715158,39.6111509,4.6
10,24.4710957,39.6112570,4.7
11,24.4709972,39.6111039,4.8
12,24.4710548,39.6111069,4.9
13,24.4710229,39.6111681,4.9
14,24.4711189,39.6111158,5.0
15,24.4710350,39.6112143,5.1
16,24.4710244,39.6111929,5.1
17,24.4713145,39.6111304,5.2
18,24.4709945,39.6111731,5.3
19,24.4710759,39.6112077,5.3
20,24.4709689,39.6111918,5.4
21,24.4710761,39.6113013,5.5
22,24.4710661,39.6112275,5.5
23,24.4710529,39.6112765,5.6
24,24.4710812,39.6112351,5.6
25,24.4710726,39.6113858,5.7
26,24.4708432,39.6113626,5.8
27,24.4709220,39.6112056,5.8
28,24.4710031,39.6113478,5.9
29,24.4710571,39.6113723,5.9
30,24.4710069,39.6113659,6.0
31,24.4709683,39.6114670,6.0
32,24.4711764,39.6112574,6.1
33,24.4710063,39.6113697,6.1
34,24.4710577,39.6113748,6.2
35,24.4709865,39.6114651,6.2
36,24.4710322,39.6113877,6.3
37,24.4710054,39.6115283,6.3
38,24.4709883,39.6115075,6.4
39,24.4709932,39.6114982,6.4
40,24.4709202,39.6115254,6.5
41,24.4709954,39.6115608,6.5
42,24.4709911,39.6115552,6.5
43,24.4709509,39.6115651,6.6
44,24.4709165,39.6116341,6.6
45,24.4710360,39.6115005,6.7
46,24.4710439,39.6116768,6.7
47,24.4709481,39.6115736,6.7
48,24.4710428,39.6115851,6.7
49,24.4710738,39.6116350,6.8
50,24.4711896,39.6115070,6.8
51,24.4710203,39.6115902,6.8
52,24.4710813,39.6117238,6.8
53,24.4711082,39.6116055,6.9
54,24.4711657,39.6116960,6.9
55,24.4712382,39.6115522,6.9
56,24.4710994,39.6117177,6.9
57,24.4707049,39.6120492,6.9
58,24.4711022,39.6116752,7.0
59,24.4712030,39.6116225,7.0
60,24.4714943,39.6117278,7.0
61,24.4712540,39.6117447,7.0
62,24.4709136,39.6115774,7.0
63,24.4712306,39.6117763,7.0
64,24.4712676,39.6117353,7.0
65,24.4711089,39.6116532,7.0
66,24.4712203,39.6116753,7.0
67,24.4711925,39.6116852,7.0
68,24.4711953,39.6116770,7.0
69,24.4712675,39.6116821,7.0
70,24.4712238,39.6118132,7.0
71,24.4712278,39.6117504,7.0
72,24.4712809,39.6118059,7.0
73,24.4712171,39.6118843,6.9
74,24.4713252,39.6118028,6.9
75,24.4713447,39.6117584,6.9
76,24.4714509,39.6116909,6.9
77,24.4710983,39.6114475,6.9
78,24.4714121,39.6117219,6.9
79,24.4713622,39.6117733,6.8
80,24.4714319,39.6118041,6.8
81,24.4711935,39.6117811,6.8
82,24.4713984,39.6117547,6.8
83,24.4714451,39.6117805,6.7
84,24.4713996,39.6118830,6.7
85,24.4715027,39.6117231,6.7
86,24.4714124,39.6118964,6.6
87,24.4714210,39.6119653,6.6
88,24.4714439,39.6117581,6.6
89,24.4714096,39.6119022,6.5
90,24.4714240,39.6119591,6.5
91,24.4715200,39.6118941,6.4
92,24.4714485,39.6117503,6.4
93,24.4715897,39.6117402,6.4
94,24.4714925,39.6118307,6.3
95,24.4715952,39.6118799,6.3
96,24.4716592,39.6118795,6.2
97,24.4716302,39.6118976,6.2
98,24.4715762,39.6118010,6.1
99,24.4715806,39.6118710,6.1
100,24.4716161,39.6118582,6.0
101,24.4715992,39.6118915,6.0
102,24.4715722,39.6118233,5.9
103,24.4716896,39.6117957,5.8
104,24.4716804,39.6118443,5.8
105,24.4715501,39.6117798,5.7
106,24.4717200,39.6117995,5.7
107,24.4716892,39.6119213,5.6
108,24.4716756,39.6118256,5.5
109,24.4716751,39.6118601,5.5
110,24.4716597,39.6117497,5.4
111,24.4717848,39.6118809,5.4
112,24.4717880,39.6119068,5.3
113,24.4717188,39.6118853,5.2
114,24.4717626,39.6117135,5.2
115,24.4718319,39.6119465,5.1
116,24.4717657,39.6119003,5.0
117,24.4718012,39.6122109,5.0
118,24.4717687,39.6118974,4.9
119,24.4716070,39.6120135,4.8
120,24.4718135,39.6118961,4.7
121,24.4717905,39.6119420,4.7
122,24.4717522,39.6119825,4.6
123,24.4718698,39.6119219,4.5
124,24.4718688,39.6118736,4.5
125,24.4718838,39.6119908,4.4
126,24.4718484,39.6118672,4.3
127,24.4717120,39.6118856,4.2
128,24.4719156,39.6119475,4.2
129,24.4718829,39.6119834,4.1
130,24.4719239,39.6119502,4.0
131,24.4720648,39.6120853,4.0
132,24.4719023,39.6120286,4.1
133,24.4720205,39.6120605,4.2
134,24.4719546,39.6119137,4.3
135,24.4715954,39.6123122,4.3
136,24.4719736,39.6119584,4.4
137,24.4719741,39.6120229,4.5
138,24.4720181,39.6120755,4.5
139,24.4720785,39.6119902,4.6
140,24.4715457,39.6114722,4.7
141,24.4721195,39.6119803,4.8
142,24.4720443,39.6120342,4.8
143,24.4720814,39.6119182,4.9
144,24.4719994,39.6119369,5.0
145,24.4721011,39.6119782,5.0
146,24.4721129,39.6120587,5.1
147,24.4720542,39.6120374,5.2
148,24.4721287,39.6119985,5.2
149,24.4721401,39.6120465,5.3
150,24.4721216,39.6120461,5.4
151,24.4721781,39.6120248,5.4
152,24.4721778,39.6119412,5.5
153,24.4720845,39.6119955,5.6
154,24.4721729,39.6120703,5.6
155,24.4721823,39.6119756,5.7
156,24.4722904,39.6120370,5.7
157,24.4722473,39.6120256,5.8
158,24.4722604,39.6121219,5.9
159,24.4722139,39.6121150,5.9
160,24.4722440,39.6121077,6.0
161,24.4721999,39.6121361,6.0
162,24.4723311,39.6120360,6.1
163,24.4722481,39.6120814,6.1
164,24.4722380,39.6121069,6.2
165,24.4722147,39.6121928,6.2
166,24.4723133,39.6121105,6.3
