stratum,method,jitter_mean,jitter_sd,viol_mean,viol_sd,pleninfl_mean,N
ALL,raw,35.882,13.366,8.435,8.459,3.047,55
ALL,dec,6.575,2.760,6.370,8.361,2.697,55
ALL,accdec,5.541,2.251,5.095,7.276,2.343,55
ALL,kalman,1.677,1.103,0.000,0.000,2.117,55
ALL,chikf,2.034,1.444,0.000,0.000,2.113,55
ALL,cwtr,1.470,1.471,0.000,0.000,1.000,55
benign,raw,30.255,9.130,4.717,5.418,1.660,25
benign,dec,6.681,3.504,3.912,5.985,1.506,25
benign,accdec,5.354,2.311,2.789,4.087,1.024,25
benign,kalman,1.924,1.359,0.000,0.000,1.005,25
benign,chikf,2.255,1.527,0.000,0.000,0.986,25
benign,cwtr,2.395,1.538,0.000,0.000,1.000,25
moderate,raw,37.699,11.783,11.619,8.829,1.597,27
moderate,dec,6.143,1.622,6.268,5.366,1.325,27
moderate,accdec,6.025,1.601,6.176,5.387,1.299,27
moderate,kalman,1.464,0.698,0.000,0.000,1.148,27
moderate,chikf,1.625,0.697,0.000,0.000,1.154,27
moderate,cwtr,0.774,0.843,0.000,0.000,1.000,27
severe,raw,66.422,10.236,10.764,12.393,27.664,3
severe,dec,9.565,1.717,27.778,14.666,24.974,3
severe,accdec,2.749,3.887,14.583,20.624,22.717,3
severe,kalman,1.526,1.254,0.000,0.000,20.105,3
severe,chikf,3.870,3.019,0.000,0.000,20.142,3
severe,cwtr,0.029,0.013,0.000,0.000,1.000,3
